function( n, i ) ... end
[ [ 32, 2 ], [ 32, 24 ], [ 32, 13 ], [ 32, 15 ], [ 32, 27 ], [ 32, 34 ], 
  [ 32, 30 ], [ 32, 31 ], [ 32, 37 ], [ 32, 38 ], [ 32, 40 ], [ 32, 42 ], 
  [ 50, 1 ], [ 50, 4 ] ]
32,2,32,640,626,1024,640,640,32,1024,256,224,768,0,640,256,640
32,24,32,640,626,1024,640,640,32,1024,256,224,768,0,640,256,640
32,13,32,448,474,896,448,448,32,640,128,96,640,0,448,192,448
32,15,32,448,602,896,448,448,32,640,128,96,128,0,448,192,448
32,27,32,448,506,1024,448,448,32,1024,640,608,384,0,448,448,448
32,34,32,448,506,1024,448,448,32,1024,640,608,384,0,448,448,448
32,30,32,448,522,1024,448,448,32,1024,384,352,640,0,448,320,448
32,31,32,448,522,1024,448,448,32,1024,384,352,640,0,448,320,448
32,37,32,640,370,1024,640,640,32,1024,256,224,256,0,640,256,640
32,38,32,640,370,1024,640,640,32,1024,256,224,256,0,640,256,640
32,40,32,448,330,896,448,448,32,640,384,352,384,0,448,320,448
32,42,32,448,330,896,448,448,32,640,384,352,384,0,448,320,448
50,1,150,800,1042,1900,700,700,50,700,1300,1250,0,200,700,700,700
50,4,650,1300,1202,1900,700,700,50,700,1300,1250,0,1200,700,700,700
