function( n, i ) ... end
0
1,1,1,1,0
2,1,4,4,0
3,1,3,3,0
4,1,8,8,0
4,2,16,16,0
5,1,5,5,0
6,1,18,18,0
6,2,12,12,0
7,1,7,7,0
8,1,16,16,0
8,2,32,32,0
8,3,40,40,0
8,4,40,40,0
8,5,64,64,0
9,1,9,9,0
9,2,9,9,0
10,1,40,40,0
10,2,20,20,0
11,1,11,11,0
12,1,48,48,1
12,2,24,24,1
12,3,24,24,1
12,4,72,72,0
12,5,48,48,1
13,1,13,13,0
14,1,70,70,0
14,2,28,28,0
15,1,15,15,1
16,1,32,32,1
16,2,64,64,1
16,3,96,96,1
16,4,96,96,1
16,5,64,64,1
16,6,64,64,0
16,7,112,112,0
16,8,80,80,1
16,9,112,112,12
16,10,128,128,1
16,11,160,160,0
16,12,160,160,1
16,13,128,128,0
16,14,256,256,1
17,1,17,17,0
18,1,108,108,1
18,2,36,36,0
18,3,54,54,0
18,4,108,108,0
18,5,36,36,0
19,1,19,19,0
20,1,120,120,0
20,2,40,40,0
20,3,60,60,1
20,4,160,160,0
20,5,80,80,1
21,1,21,21,0
21,2,21,21,1
22,1,154,154,0
22,2,44,44,1
23,1,23,23,1
24,1,96,96,1
24,2,48,48,1
24,3,72,72,1
24,4,216,216,1
24,5,144,144,1
24,6,216,216,1
24,7,192,192,1
24,8,168,168,1
24,9,96,96,1
24,10,120,120,1
24,11,120,120,1
24,12,120,120,1
24,13,96,96,1
24,14,288,288,1
24,15,192,192,2
25,1,25,25,5
25,2,25,25,1
26,1,208,208,1
26,2,52,52,0
27,1,27,27,1
27,2,27,27,1
27,3,27,27,1
27,4,27,27,1
27,5,27,27,1
28,1,224,224,1
28,2,56,56,1
28,3,280,280,1
28,4,112,112,1
29,1,29,29,2
30,1,90,90,2
30,2,120,120,1
30,3,270,270,1
30,4,60,60,1
31,1,31,31,1
32,1,64,64,2
32,2,256,256,2
32,3,128,128,2
32,4,128,128,2
32,5,192,192,2
32,6,224,224,2
32,7,224,224,2
32,8,224,224,5
32,9,256,256,2
32,10,256,256,2
32,11,192,192,2
32,12,192,192,2
32,13,192,192,1
32,14,320,320,2
32,15,192,192,2
32,16,128,128,2
32,17,128,128,2
32,18,352,352,2
32,19,224,224,2
32,20,352,352,2
32,21,256,256,2
32,22,384,384,2
32,23,384,384,1
32,24,256,256,2
32,25,320,320,1
32,26,320,320,2
32,27,448,448,2
32,28,384,384,2
32,29,384,384,0
32,30,320,320,0
32,31,320,320,2
32,32,320,320,2
32,33,256,256,2
32,34,448,448,2
32,35,448,448,2
32,36,256,256,2
32,37,256,256,1
32,38,256,256,2
32,39,448,448,2
32,40,320,320,2
32,41,448,448,2
32,42,320,320,2
32,43,352,352,1
32,44,352,352,2
32,45,512,512,2
32,46,640,640,1
32,47,640,640,1
32,48,512,512,2
32,49,544,544,2
32,50,544,544,3
32,51,1024,1024,2
33,1,33,33,1
34,1,340,340,5
34,2,68,68,1
35,1,35,35,2
36,1,360,360,2
36,2,72,72,2
36,3,72,72,2
36,4,432,432,2
36,5,144,144,3
36,6,144,144,2
36,7,360,360,2
36,8,72,72,2
36,9,144,144,2
36,10,324,324,3
36,11,72,72,2
36,12,216,216,2
36,13,432,432,2
36,14,144,144,2
37,1,37,37,2
38,1,418,418,2
38,2,76,76,3
39,1,39,39,6
39,2,39,39,2
40,1,240,240,2
40,2,80,80,3
40,3,160,160,3
40,4,520,520,3
40,5,320,320,4
40,6,520,520,3
40,7,480,480,4
40,8,360,360,2
40,9,160,160,3
40,10,200,200,4
40,11,200,200,4
40,12,240,240,4
40,13,640,640,4
40,14,320,320,3
41,1,41,41,3
42,1,126,126,2
42,2,84,84,3
42,3,126,126,3
42,4,210,210,3
42,5,504,504,3
42,6,84,84,2
43,1,43,43,3
44,1,528,528,3
44,2,88,88,3
44,3,616,616,3
44,4,176,176,3
45,1,45,45,3
45,2,45,45,3
46,1,598,598,3
46,2,92,92,3
47,1,47,47,2
48,1,192,192,4
48,2,96,96,5
48,3,96,96,4
48,4,288,288,5
48,5,288,288,4
48,6,432,432,5
48,7,720,720,4
48,8,720,720,5
48,9,384,384,4
48,10,384,384,4
48,11,384,384,7
48,12,480,480,3
48,13,672,672,4
48,14,480,480,4
48,15,480,480,4
48,16,384,384,4
48,17,384,384,6
48,18,480,480,6
48,19,480,480,5
48,20,192,192,4
48,21,288,288,4
48,22,288,288,4
48,23,192,192,6
48,24,192,192,4
48,25,336,336,4
48,26,240,240,5
48,27,336,336,4
48,28,384,384,4
48,29,288,288,5
48,30,288,288,4
48,31,192,192,4
48,32,288,288,5
48,33,192,192,4
48,34,864,864,4
48,35,576,576,7
48,36,864,864,4
48,37,576,576,4
48,38,720,720,4
48,39,624,624,4
48,40,720,720,4
48,41,624,624,4
48,42,768,768,4
48,43,672,672,4
48,44,384,384,5
48,45,480,480,5
48,46,480,480,4
48,47,384,384,6
48,48,480,480,4
48,49,384,384,4
48,50,288,288,4
48,51,1152,1152,4
48,52,768,768,3
49,1,49,49,5
49,2,49,49,4
50,1,700,700,4
50,2,100,100,4
50,3,200,200,4
50,4,700,700,4
50,5,100,100,6
51,1,51,51,4
52,1,728,728,4
52,2,104,104,3
52,3,260,260,5
52,4,832,832,5
52,5,208,208,4
53,1,53,53,3
54,1,810,810,6
54,2,108,108,5
54,3,324,324,8
54,4,162,162,5
54,5,216,216,5
54,6,216,216,5
54,7,810,810,6
54,8,324,324,5
54,9,108,108,4
54,10,108,108,5
54,11,108,108,5
54,12,162,162,5
54,13,324,324,8
54,14,810,810,5
